# ID H Lambda Omega_m n_s sigma_8 w_0
00 69 0.698 0.302 0.93 0.854 -1.14
01 63 0.669 0.331 0.982 0.719 -0.765
02 72.3 0.739 0.261 0.97 0.851 -1.08
03 66.2 0.671 0.329 0.975 0.858 -0.982
04 74.2 0.733 0.267 0.954 0.889 -1.22
05 71.5 0.706 0.294 0.954 0.913 -1.29
06 68.6 0.717 0.283 0.96 0.768 -0.969
07 66.7 0.709 0.291 0.987 0.734 -0.788
08 65.8 0.695 0.305 0.957 0.692 -0.796
09 72.7 0.719 0.281 0.931 0.89 -1.24
10 67 0.677 0.323 0.961 0.83 -0.995
11 72.2 0.732 0.268 0.963 0.851 -1.16
12 65.2 0.687 0.313 0.99 0.778 -0.827
13 64.1 0.67 0.33 0.976 0.776 -0.792
14 74.8 0.731 0.269 0.971 0.999 -1.37
15 67.4 0.708 0.292 0.976 0.732 -0.89
16 70.9 0.727 0.273 0.969 0.835 -0.999
17 62.1 0.658 0.342 0.95 0.714 -0.745
18 67.9 0.693 0.307 0.97 0.831 -0.934
19 71 0.717 0.283 0.955 0.849 -1.04
20 64.5 0.675 0.325 0.967 0.74 -0.742
21 68.3 0.689 0.311 0.975 0.847 -1.02
22 73.3 0.723 0.277 0.937 0.923 -1.3
23 62.7 0.645 0.355 0.965 0.77 -0.796
24 73.9 0.731 0.269 0.966 0.938 -1.24
25 61.6 0.633 0.367 0.965 0.728 -0.754
26 69.3 0.705 0.295 0.963 0.831 -1.06
27 62.5 0.663 0.337 0.959 0.687 -0.655
28 65.5 0.676 0.324 0.937 0.795 -0.941
29 67.9 0.684 0.316 0.935 0.875 -1.1
30 64.6 0.674 0.326 0.956 0.735 -0.87
31 69.8 0.702 0.298 0.977 0.89 -1.14
32 63.3 0.681 0.319 0.984 0.647 -0.661
33 66.1 0.686 0.314 0.982 0.744 -0.866
34 70.1 0.692 0.308 0.941 0.906 -1.22
35 73.2 0.714 0.286 0.962 0.979 -1.35
36 63.8 0.659 0.341 0.963 0.738 -0.762
37 70.5 0.727 0.273 0.973 0.825 -1.04
38 74.5 0.747 0.253 0.951 0.886 -1.2
39 71.9 0.726 0.274 0.953 0.881 -1.16

